question,answer
What are the three roles in Marvel Rivals?,Vanguard (tank) · Duelist (DPS) · Strategist (support)
Who developed Marvel Rivals?,NetEase Games
How many players are on each team in Marvel Rivals?,6 players (6v6)
What triggers a Team-Up ability?,Having specific hero combinations active on the same team
Which role does Rocket Raccoon fill?,Strategist
What is the name of Doctor Strange's portal ability?,Pentagram of Farallah
Which hero uses Symbiote bonds to pull enemies?,Venom
What is the primary game mode in Marvel Rivals?,Convoy and Domination (escort and point capture)
What villain's time-warping powers set up the game's storyline?,Doctor Doom
Which Vanguard hero can absorb incoming damage to boost a shield?,Magneto
